brand,oct_view_sessions,nov_view_sessions,view_session_change,oct_purchase_sessions,nov_purchase_sessions,purchase_session_change,oct_revenue,nov_revenue,revenue_change,revenue_change_pct,oct_conversion_rate,nov_conversion_rate,conversion_rate_change,oct_cart_abandonment_pct,nov_cart_abandonment_pct,cart_abandonment_change,oct_revenue_per_view,nov_revenue_per_view,revenue_per_view_change
pt-group,0.0,1517.0,1517.0,0.0,4.0,4.0,0.0,952.42,952.42,0.0,0.0,0.26,0.26,0.0,81.82,81.82,0.0,0.63,0.63
fujifilm,0.0,828.0,828.0,0.0,8.0,8.0,0.0,968.82,968.82,0.0,0.0,0.97,0.97,0.0,77.78,77.78,0.0,1.17,1.17
alesis,0.0,591.0,591.0,0.0,6.0,6.0,0.0,976.44,976.44,0.0,0.0,1.02,1.02,0.0,66.67,66.67,0.0,1.65,1.65
arnica,0.0,2240.0,2240.0,0.0,7.0,7.0,0.0,987.98,987.98,0.0,0.0,0.31,0.31,0.0,90.0,90.0,0.0,0.44,0.44
ikea,0.0,3361.0,3361.0,0.0,20.0,20.0,0.0,1013.78,1013.78,0.0,0.0,0.6,0.6,0.0,73.33,73.33,0.0,0.3,0.3
thermaltake,0.0,1060.0,1060.0,0.0,7.0,7.0,0.0,1020.72,1020.72,0.0,0.0,0.66,0.66,0.0,69.57,69.57,0.0,0.96,0.96
powercolor,0.0,568.0,568.0,0.0,5.0,5.0,0.0,1027.83,1027.83,0.0,0.0,0.88,0.88,0.0,76.19,76.19,0.0,1.81,1.81
artmusical,0.0,1145.0,1145.0,0.0,7.0,7.0,0.0,1037.33,1037.33,0.0,0.0,0.61,0.61,0.0,78.13,78.13,0.0,0.91,0.91
habilead,0.0,1540.0,1540.0,0.0,19.0,19.0,0.0,1047.38,1047.38,0.0,0.0,1.23,1.23,0.0,81.55,81.55,0.0,0.68,0.68
bq,5457.0,5496.0,39.0,46.0,60.0,14.0,2247.2,3297.27,1050.07,46.73,0.84,1.09,0.25,2.13,61.78,59.65,0.41,0.6,0.19
burton,0.0,923.0,923.0,0.0,4.0,4.0,0.0,1059.49,1059.49,0.0,0.0,0.43,0.43,0.0,75.0,75.0,0.0,1.15,1.15
edge,0.0,880.0,880.0,0.0,9.0,9.0,0.0,1088.2,1088.2,0.0,0.0,1.02,1.02,0.0,65.38,65.38,0.0,1.24,1.24
hyundai,0.0,1847.0,1847.0,0.0,12.0,12.0,0.0,1089.75,1089.75,0.0,0.0,0.65,0.65,0.0,83.1,83.1,0.0,0.59,0.59
merelani,0.0,2680.0,2680.0,0.0,12.0,12.0,0.0,1094.76,1094.76,0.0,0.0,0.45,0.45,0.0,62.5,62.5,0.0,0.41,0.41
texet,0.0,3367.0,3367.0,0.0,47.0,47.0,0.0,1132.47,1132.47,0.0,0.0,1.4,1.4,0.0,69.68,69.68,0.0,0.34,0.34
moschino,0.0,1282.0,1282.0,0.0,24.0,24.0,0.0,1142.82,1142.82,0.0,0.0,1.87,1.87,0.0,72.09,72.09,0.0,0.89,0.89
bestoy,0.0,629.0,629.0,0.0,17.0,17.0,0.0,1153.13,1153.13,0.0,0.0,2.7,2.7,0.0,46.88,46.88,0.0,1.83,1.83
kitchenaid,0.0,1135.0,1135.0,0.0,2.0,2.0,0.0,1167.85,1167.85,0.0,0.0,0.18,0.18,0.0,81.82,81.82,0.0,1.03,1.03
htc,0.0,638.0,638.0,0.0,5.0,5.0,0.0,1173.17,1173.17,0.0,0.0,0.78,0.78,0.0,68.75,68.75,0.0,1.84,1.84
stendmebel,0.0,1960.0,1960.0,0.0,6.0,6.0,0.0,1173.96,1173.96,0.0,0.0,0.31,0.31,0.0,83.33,83.33,0.0,0.6,0.6
etor,0.0,2334.0,2334.0,0.0,10.0,10.0,0.0,1178.92,1178.92,0.0,0.0,0.43,0.43,0.0,80.77,80.77,0.0,0.51,0.51
polini,0.0,1046.0,1046.0,0.0,9.0,9.0,0.0,1181.27,1181.27,0.0,0.0,0.86,0.86,0.0,55.0,55.0,0.0,1.13,1.13
willmark,0.0,2675.0,2675.0,0.0,53.0,53.0,0.0,1182.16,1182.16,0.0,0.0,1.98,1.98,0.0,75.0,75.0,0.0,0.44,0.44
galaxy,0.0,5936.0,5936.0,0.0,46.0,46.0,0.0,1188.6,1188.6,0.0,0.0,0.77,0.77,0.0,74.59,74.59,0.0,0.2,0.2
alis,0.0,1045.0,1045.0,0.0,15.0,15.0,0.0,1224.9,1224.9,0.0,0.0,1.44,1.44,0.0,66.67,66.67,0.0,1.17,1.17
rebus,0.0,641.0,641.0,0.0,6.0,6.0,0.0,1226.0,1226.0,0.0,0.0,0.94,0.94,0.0,64.71,64.71,0.0,1.91,1.91
roadstone,0.0,1242.0,1242.0,0.0,19.0,19.0,0.0,1231.94,1231.94,0.0,0.0,1.53,1.53,0.0,78.16,78.16,0.0,0.99,0.99
legre,0.0,1964.0,1964.0,0.0,14.0,14.0,0.0,1239.45,1239.45,0.0,0.0,0.71,0.71,0.0,80.28,80.28,0.0,0.63,0.63
kristal,0.0,504.0,504.0,0.0,5.0,5.0,0.0,1244.24,1244.24,0.0,0.0,0.99,0.99,0.0,80.0,80.0,0.0,2.47,2.47
almada,0.0,940.0,940.0,0.0,6.0,6.0,0.0,1259.33,1259.33,0.0,0.0,0.64,0.64,0.0,77.78,77.78,0.0,1.34,1.34
aimoto,0.0,1980.0,1980.0,0.0,23.0,23.0,0.0,1261.86,1261.86,0.0,0.0,1.16,1.16,0.0,70.13,70.13,0.0,0.64,0.64
hoover,0.0,538.0,538.0,0.0,12.0,12.0,0.0,1266.2,1266.2,0.0,0.0,2.23,2.23,0.0,60.0,60.0,0.0,2.35,2.35
daneildesch,0.0,1241.0,1241.0,0.0,9.0,9.0,0.0,1274.13,1274.13,0.0,0.0,0.73,0.73,0.0,60.87,60.87,0.0,1.03,1.03
domyos,0.0,989.0,989.0,0.0,7.0,7.0,0.0,1284.93,1284.93,0.0,0.0,0.71,0.71,0.0,75.0,75.0,0.0,1.3,1.3
laston,0.0,1139.0,1139.0,0.0,14.0,14.0,0.0,1285.87,1285.87,0.0,0.0,1.23,1.23,0.0,62.16,62.16,0.0,1.13,1.13
bulgari,0.0,1017.0,1017.0,0.0,18.0,18.0,0.0,1307.0,1307.0,0.0,0.0,1.77,1.77,0.0,69.49,69.49,0.0,1.29,1.29
pituso,0.0,992.0,992.0,0.0,14.0,14.0,0.0,1309.43,1309.43,0.0,0.0,1.41,1.41,0.0,41.67,41.67,0.0,1.32,1.32
lego,0.0,4843.0,4843.0,0.0,20.0,20.0,0.0,1317.53,1317.53,0.0,0.0,0.41,0.41,0.0,84.0,84.0,0.0,0.27,0.27
fassen,0.0,3692.0,3692.0,0.0,28.0,28.0,0.0,1322.59,1322.59,0.0,0.0,0.76,0.76,0.0,72.0,72.0,0.0,0.36,0.36
voltman,0.0,678.0,678.0,0.0,18.0,18.0,0.0,1327.44,1327.44,0.0,0.0,2.65,2.65,0.0,68.42,68.42,0.0,1.96,1.96
alphard,0.0,1139.0,1139.0,0.0,11.0,11.0,0.0,1330.53,1330.53,0.0,0.0,0.97,0.97,0.0,59.26,59.26,0.0,1.17,1.17
cersanit,0.0,671.0,671.0,0.0,13.0,13.0,0.0,1371.99,1371.99,0.0,0.0,1.94,1.94,0.0,35.0,35.0,0.0,2.04,2.04
polaris,18980.0,20069.0,1089.0,304.0,280.0,-24.0,12499.18,13871.34,1372.16,10.98,1.6,1.4,-0.2,5.59,66.22,60.63,0.66,0.69,0.03
intex,0.0,3980.0,3980.0,0.0,28.0,28.0,0.0,1379.94,1379.94,0.0,0.0,0.7,0.7,0.0,75.0,75.0,0.0,0.35,0.35
sunwide,0.0,776.0,776.0,0.0,25.0,25.0,0.0,1381.74,1381.74,0.0,0.0,3.22,3.22,0.0,62.69,62.69,0.0,1.78,1.78
velvet-santiago,0.0,667.0,667.0,0.0,4.0,4.0,0.0,1424.54,1424.54,0.0,0.0,0.6,0.6,0.0,0.0,0.0,0.0,2.14,2.14
kormoran,0.0,1204.0,1204.0,0.0,27.0,27.0,0.0,1431.93,1431.93,0.0,0.0,2.24,2.24,0.0,68.6,68.6,0.0,1.19,1.19
bork,0.0,628.0,628.0,0.0,3.0,3.0,0.0,1436.26,1436.26,0.0,0.0,0.48,0.48,0.0,72.73,72.73,0.0,2.29,2.29
strobbs,0.0,4412.0,4412.0,0.0,23.0,23.0,0.0,1443.54,1443.54,0.0,0.0,0.52,0.52,0.0,74.73,74.73,0.0,0.33,0.33
givenchy,0.0,1186.0,1186.0,0.0,14.0,14.0,0.0,1444.33,1444.33,0.0,0.0,1.18,1.18,0.0,65.85,65.85,0.0,1.22,1.22
nexpero,0.0,3909.0,3909.0,0.0,19.0,19.0,0.0,1450.98,1450.98,0.0,0.0,0.49,0.49,0.0,79.12,79.12,0.0,0.37,0.37
neo,0.0,1405.0,1405.0,0.0,2.0,2.0,0.0,1451.26,1451.26,0.0,0.0,0.14,0.14,0.0,83.33,83.33,0.0,1.03,1.03
boccia,0.0,1412.0,1412.0,0.0,14.0,14.0,0.0,1464.65,1464.65,0.0,0.0,0.99,0.99,0.0,33.33,33.33,0.0,1.04,1.04
microsoft,2236.0,2433.0,197.0,26.0,21.0,-5.0,7799.6,9277.4,1477.8,18.95,1.16,0.86,-0.3,27.78,70.83,43.05,3.49,3.81,0.32
fila,0.0,3186.0,3186.0,0.0,15.0,15.0,0.0,1483.33,1483.33,0.0,0.0,0.47,0.47,0.0,67.39,67.39,0.0,0.47,0.47
kartal,0.0,1828.0,1828.0,0.0,7.0,7.0,0.0,1491.17,1491.17,0.0,0.0,0.38,0.38,0.0,79.41,79.41,0.0,0.82,0.82
glasman,0.0,645.0,645.0,0.0,8.0,8.0,0.0,1531.36,1531.36,0.0,0.0,1.24,1.24,0.0,11.11,11.11,0.0,2.37,2.37
king,0.0,1012.0,1012.0,0.0,11.0,11.0,0.0,1553.22,1553.22,0.0,0.0,1.09,1.09,0.0,54.17,54.17,0.0,1.53,1.53
peg-perego,0.0,933.0,933.0,0.0,10.0,10.0,0.0,1595.25,1595.25,0.0,0.0,1.07,1.07,0.0,72.97,72.97,0.0,1.71,1.71
karya,0.0,4609.0,4609.0,0.0,32.0,32.0,0.0,1627.55,1627.55,0.0,0.0,0.69,0.69,0.0,65.96,65.96,0.0,0.35,0.35
baltekstil,0.0,1714.0,1714.0,0.0,15.0,15.0,0.0,1636.85,1636.85,0.0,0.0,0.88,0.88,0.0,67.39,67.39,0.0,0.95,0.95
luminarc,0.0,4720.0,4720.0,0.0,27.0,27.0,0.0,1655.92,1655.92,0.0,0.0,0.57,0.57,0.0,69.32,69.32,0.0,0.35,0.35
dwt,0.0,1767.0,1767.0,0.0,21.0,21.0,0.0,1662.48,1662.48,0.0,0.0,1.19,1.19,0.0,56.25,56.25,0.0,0.94,0.94
weekend,1191.0,2059.0,868.0,0.0,3.0,3.0,0.0,1662.84,1662.84,0.0,0.0,0.15,0.15,0.0,70.0,70.0,0.0,0.81,0.81
cover,0.0,1301.0,1301.0,0.0,10.0,10.0,0.0,1673.4,1673.4,0.0,0.0,0.77,0.77,0.0,64.29,64.29,0.0,1.29,1.29
genesis,0.0,1255.0,1255.0,0.0,32.0,32.0,0.0,1684.17,1684.17,0.0,0.0,2.55,2.55,0.0,71.17,71.17,0.0,1.34,1.34
tomfarr,0.0,9702.0,9702.0,0.0,14.0,14.0,0.0,1687.29,1687.29,0.0,0.0,0.14,0.14,0.0,70.83,70.83,0.0,0.17,0.17
hifly,0.0,1669.0,1669.0,0.0,31.0,31.0,0.0,1687.57,1687.57,0.0,0.0,1.86,1.86,0.0,77.37,77.37,0.0,1.01,1.01
matrol,0.0,1359.0,1359.0,0.0,15.0,15.0,0.0,1701.34,1701.34,0.0,0.0,1.1,1.1,0.0,71.7,71.7,0.0,1.25,1.25
jvc,0.0,2903.0,2903.0,0.0,24.0,24.0,0.0,1707.36,1707.36,0.0,0.0,0.83,0.83,0.0,76.7,76.7,0.0,0.59,0.59
adamex,0.0,587.0,587.0,0.0,4.0,4.0,0.0,1719.47,1719.47,0.0,0.0,0.68,0.68,0.0,60.0,60.0,0.0,2.93,2.93
akom,0.0,1193.0,1193.0,0.0,23.0,23.0,0.0,1724.13,1724.13,0.0,0.0,1.93,1.93,0.0,76.53,76.53,0.0,1.45,1.45
ersport,0.0,895.0,895.0,0.0,12.0,12.0,0.0,1730.62,1730.62,0.0,0.0,1.34,1.34,0.0,68.42,68.42,0.0,1.93,1.93
romana,0.0,802.0,802.0,0.0,7.0,7.0,0.0,1750.64,1750.64,0.0,0.0,0.87,0.87,0.0,58.82,58.82,0.0,2.18,2.18
efremov,0.0,1440.0,1440.0,0.0,12.0,12.0,0.0,1756.29,1756.29,0.0,0.0,0.83,0.83,0.0,57.14,57.14,0.0,1.22,1.22
stagg,0.0,963.0,963.0,0.0,16.0,16.0,0.0,1771.72,1771.72,0.0,0.0,1.66,1.66,0.0,60.0,60.0,0.0,1.84,1.84
diamondunion,0.0,1057.0,1057.0,0.0,9.0,9.0,0.0,1785.38,1785.38,0.0,0.0,0.85,0.85,0.0,75.68,75.68,0.0,1.69,1.69
delonghi,4178.0,4833.0,655.0,50.0,54.0,4.0,19417.4,21267.34,1849.94,9.53,1.2,1.12,-0.08,20.63,66.87,46.24,4.65,4.4,-0.25
cantra,0.0,3201.0,3201.0,0.0,22.0,22.0,0.0,1866.87,1866.87,0.0,0.0,0.69,0.69,0.0,67.65,67.65,0.0,0.58,0.58
apacer,0.0,1932.0,1932.0,0.0,46.0,46.0,0.0,1872.71,1872.71,0.0,0.0,2.38,2.38,0.0,60.68,60.68,0.0,0.97,0.97
adil,0.0,1535.0,1535.0,0.0,18.0,18.0,0.0,1876.49,1876.49,0.0,0.0,1.17,1.17,0.0,67.27,67.27,0.0,1.22,1.22
garrett,0.0,783.0,783.0,0.0,9.0,9.0,0.0,1896.79,1896.79,0.0,0.0,1.15,1.15,0.0,47.06,47.06,0.0,2.42,2.42
metabo,1110.0,1079.0,-31.0,0.0,4.0,4.0,0.0,1905.82,1905.82,0.0,0.0,0.37,0.37,0.0,55.56,55.56,0.0,1.77,1.77
denzel,0.0,1270.0,1270.0,0.0,7.0,7.0,0.0,1909.58,1909.58,0.0,0.0,0.55,0.55,0.0,82.05,82.05,0.0,1.5,1.5
jade,0.0,1192.0,1192.0,0.0,7.0,7.0,0.0,1915.28,1915.28,0.0,0.0,0.59,0.59,0.0,46.15,46.15,0.0,1.61,1.61
vestel,0.0,561.0,561.0,0.0,8.0,8.0,0.0,1922.62,1922.62,0.0,0.0,1.43,1.43,0.0,61.9,61.9,0.0,3.43,3.43
aerocool,0.0,2375.0,2375.0,0.0,23.0,23.0,0.0,1924.69,1924.69,0.0,0.0,0.97,0.97,0.0,77.23,77.23,0.0,0.81,0.81
sven,0.0,3770.0,3770.0,0.0,52.0,52.0,0.0,1928.15,1928.15,0.0,0.0,1.38,1.38,0.0,65.1,65.1,0.0,0.51,0.51
marshall,0.0,1696.0,1696.0,0.0,21.0,21.0,0.0,1959.76,1959.76,0.0,0.0,1.24,1.24,0.0,66.67,66.67,0.0,1.16,1.16
nokia,16053.0,15463.0,-590.0,256.0,220.0,-36.0,18059.72,20062.9,2003.18,11.09,1.59,1.42,-0.17,39.62,61.61,21.99,1.13,1.3,0.17
varta,0.0,897.0,897.0,0.0,19.0,19.0,0.0,2008.34,2008.34,0.0,0.0,2.12,2.12,0.0,67.8,67.8,0.0,2.24,2.24
avalon,0.0,1180.0,1180.0,0.0,3.0,3.0,0.0,2018.59,2018.59,0.0,0.0,0.25,0.25,0.0,66.67,66.67,0.0,1.71,1.71
leadbros,0.0,789.0,789.0,0.0,11.0,11.0,0.0,2036.11,2036.11,0.0,0.0,1.39,1.39,0.0,77.08,77.08,0.0,2.58,2.58
amd,0.0,1994.0,1994.0,0.0,13.0,13.0,0.0,2088.02,2088.02,0.0,0.0,0.65,0.65,0.0,83.12,83.12,0.0,1.05,1.05
hotpoint-ariston,0.0,1998.0,1998.0,0.0,9.0,9.0,0.0,2093.79,2093.79,0.0,0.0,0.45,0.45,0.0,75.68,75.68,0.0,1.05,1.05
carfashion,0.0,4733.0,4733.0,0.0,31.0,31.0,0.0,2133.6,2133.6,0.0,0.0,0.65,0.65,0.0,75.0,75.0,0.0,0.45,0.45
toyo,0.0,1684.0,1684.0,0.0,18.0,18.0,0.0,2139.71,2139.71,0.0,0.0,1.07,1.07,0.0,79.78,79.78,0.0,1.27,1.27
asrock,0.0,1729.0,1729.0,0.0,15.0,15.0,0.0,2141.88,2141.88,0.0,0.0,0.87,0.87,0.0,69.39,69.39,0.0,1.24,1.24
kicx,0.0,2282.0,2282.0,0.0,29.0,29.0,0.0,2174.05,2174.05,0.0,0.0,1.27,1.27,0.0,59.15,59.15,0.0,0.95,0.95
irobot,0.0,876.0,876.0,0.0,5.0,5.0,0.0,2246.83,2246.83,0.0,0.0,0.57,0.57,0.0,50.0,50.0,0.0,2.56,2.56
lorelli,0.0,2938.0,2938.0,0.0,29.0,29.0,0.0,2252.79,2252.79,0.0,0.0,0.99,0.99,0.0,67.05,67.05,0.0,0.77,0.77
ibox,0.0,3049.0,3049.0,0.0,25.0,25.0,0.0,2288.38,2288.38,0.0,0.0,0.82,0.82,0.0,78.99,78.99,0.0,0.75,0.75
nintendo,0.0,916.0,916.0,0.0,8.0,8.0,0.0,2292.81,2292.81,0.0,0.0,0.87,0.87,0.0,42.86,42.86,0.0,2.5,2.5
salamander,0.0,4019.0,4019.0,0.0,20.0,20.0,0.0,2302.27,2302.27,0.0,0.0,0.5,0.5,0.0,72.97,72.97,0.0,0.57,0.57
pride,0.0,1713.0,1713.0,0.0,17.0,17.0,0.0,2310.12,2310.12,0.0,0.0,0.99,0.99,0.0,69.64,69.64,0.0,1.35,1.35
racer,0.0,690.0,690.0,0.0,14.0,14.0,0.0,2330.84,2330.84,0.0,0.0,2.03,2.03,0.0,57.58,57.58,0.0,3.38,3.38
amazon,0.0,501.0,501.0,0.0,6.0,6.0,0.0,2350.97,2350.97,0.0,0.0,1.2,1.2,0.0,33.33,33.33,0.0,4.69,4.69
uno,0.0,617.0,617.0,0.0,5.0,5.0,0.0,2385.26,2385.26,0.0,0.0,0.81,0.81,0.0,79.17,79.17,0.0,3.87,3.87
hansa,8307.0,10950.0,2643.0,94.0,100.0,6.0,24749.57,27166.79,2417.22,9.77,1.13,0.91,-0.22,5.05,74.36,69.31,2.98,2.48,-0.5
chicco,0.0,4352.0,4352.0,0.0,21.0,21.0,0.0,2445.3,2445.3,0.0,0.0,0.48,0.48,0.0,75.58,75.58,0.0,0.56,0.56
netechnics,0.0,1728.0,1728.0,0.0,3.0,3.0,0.0,2483.89,2483.89,0.0,0.0,0.17,0.17,0.0,81.25,81.25,0.0,1.44,1.44
timberk,0.0,3083.0,3083.0,0.0,56.0,56.0,0.0,2512.14,2512.14,0.0,0.0,1.82,1.82,0.0,66.86,66.86,0.0,0.81,0.81
ballu,0.0,3655.0,3655.0,0.0,50.0,50.0,0.0,2549.44,2549.44,0.0,0.0,1.37,1.37,0.0,67.95,67.95,0.0,0.7,0.7
pirelli,0.0,2447.0,2447.0,0.0,24.0,24.0,0.0,2561.22,2561.22,0.0,0.0,0.98,0.98,0.0,85.09,85.09,0.0,1.05,1.05
cort,0.0,589.0,589.0,0.0,11.0,11.0,0.0,2570.22,2570.22,0.0,0.0,1.87,1.87,0.0,50.0,50.0,0.0,4.36,4.36
peda,0.0,529.0,529.0,0.0,2.0,2.0,0.0,2571.5,2571.5,0.0,0.0,0.38,0.38,0.0,60.0,60.0,0.0,4.86,4.86
tigar,0.0,2093.0,2093.0,0.0,34.0,34.0,0.0,2575.5,2575.5,0.0,0.0,1.62,1.62,0.0,74.24,74.24,0.0,1.23,1.23
gislaved,0.0,1294.0,1294.0,0.0,33.0,33.0,0.0,2603.04,2603.04,0.0,0.0,2.55,2.55,0.0,67.33,67.33,0.0,2.01,2.01
gucci,0.0,1486.0,1486.0,0.0,21.0,21.0,0.0,2619.87,2619.87,0.0,0.0,1.41,1.41,0.0,68.18,68.18,0.0,1.76,1.76
braun,9387.0,11830.0,2443.0,175.0,178.0,3.0,15144.52,17764.58,2620.06,17.3,1.86,1.5,-0.36,11.62,67.46,55.84,1.61,1.5,-0.11
goodride,0.0,2726.0,2726.0,0.0,57.0,57.0,0.0,2650.08,2650.08,0.0,0.0,2.09,2.09,0.0,76.54,76.54,0.0,0.97,0.97
lanvin,0.0,3218.0,3218.0,0.0,63.0,63.0,0.0,2658.03,2658.03,0.0,0.0,1.96,1.96,0.0,67.86,67.86,0.0,0.83,0.83
harper,0.0,3002.0,3002.0,0.0,28.0,28.0,0.0,2658.6,2658.6,0.0,0.0,0.93,0.93,0.0,73.58,73.58,0.0,0.89,0.89
pandora,0.0,2784.0,2784.0,0.0,13.0,13.0,0.0,2708.38,2708.38,0.0,0.0,0.47,0.47,0.0,74.51,74.51,0.0,0.97,0.97
greyder,0.0,5108.0,5108.0,0.0,24.0,24.0,0.0,2751.65,2751.65,0.0,0.0,0.47,0.47,0.0,77.98,77.98,0.0,0.54,0.54
google,0.0,1275.0,1275.0,0.0,4.0,4.0,0.0,2766.1,2766.1,0.0,0.0,0.31,0.31,0.0,33.33,33.33,0.0,2.17,2.17
stihl,0.0,1555.0,1555.0,0.0,9.0,9.0,0.0,2782.05,2782.05,0.0,0.0,0.58,0.58,0.0,79.55,79.55,0.0,1.79,1.79
atlantic,0.0,1029.0,1029.0,0.0,16.0,16.0,0.0,2859.18,2859.18,0.0,0.0,1.55,1.55,0.0,51.52,51.52,0.0,2.78,2.78
domini,0.0,2182.0,2182.0,0.0,16.0,16.0,0.0,2926.72,2926.72,0.0,0.0,0.73,0.73,0.0,77.14,77.14,0.0,1.34,1.34
housefit,0.0,2066.0,2066.0,0.0,9.0,9.0,0.0,2935.27,2935.27,0.0,0.0,0.44,0.44,0.0,83.02,83.02,0.0,1.42,1.42
hankook,0.0,1823.0,1823.0,0.0,31.0,31.0,0.0,2959.64,2959.64,0.0,0.0,1.7,1.7,0.0,68.37,68.37,0.0,1.62,1.62
cybex,0.0,1014.0,1014.0,0.0,7.0,7.0,0.0,2987.04,2987.04,0.0,0.0,0.69,0.69,0.0,53.33,53.33,0.0,2.95,2.95
comforser,0.0,2777.0,2777.0,0.0,56.0,56.0,0.0,2994.81,2994.81,0.0,0.0,2.02,2.02,0.0,76.86,76.86,0.0,1.08,1.08
smart,0.0,1373.0,1373.0,0.0,5.0,5.0,0.0,2997.5,2997.5,0.0,0.0,0.36,0.36,0.0,75.0,75.0,0.0,2.18,2.18
jaguar,0.0,2458.0,2458.0,0.0,23.0,23.0,0.0,3023.96,3023.96,0.0,0.0,0.94,0.94,0.0,80.0,80.0,0.0,1.23,1.23
granhel,0.0,3544.0,3544.0,0.0,28.0,28.0,0.0,3038.1,3038.1,0.0,0.0,0.79,0.79,0.0,83.23,83.23,0.0,0.86,0.86
wingoffly,0.0,2108.0,2108.0,0.0,27.0,27.0,0.0,3138.88,3138.88,0.0,0.0,1.28,1.28,0.0,57.81,57.81,0.0,1.49,1.49
kugoo,0.0,628.0,628.0,0.0,8.0,8.0,0.0,3164.45,3164.45,0.0,0.0,1.27,1.27,0.0,50.0,50.0,0.0,5.04,5.04
asel,0.0,3686.0,3686.0,0.0,63.0,63.0,0.0,3202.67,3202.67,0.0,0.0,1.71,1.71,0.0,73.64,73.64,0.0,0.87,0.87
almacom,0.0,2866.0,2866.0,0.0,22.0,22.0,0.0,3221.41,3221.41,0.0,0.0,0.77,0.77,0.0,77.32,77.32,0.0,1.12,1.12
ostamebel,0.0,747.0,747.0,0.0,5.0,5.0,0.0,3289.11,3289.11,0.0,0.0,0.67,0.67,0.0,70.59,70.59,0.0,4.4,4.4
rivertoys,0.0,2272.0,2272.0,0.0,22.0,22.0,0.0,3319.53,3319.53,0.0,0.0,0.97,0.97,0.0,75.82,75.82,0.0,1.46,1.46
crown,0.0,6457.0,6457.0,0.0,64.0,64.0,0.0,3373.46,3373.46,0.0,0.0,0.99,0.99,0.0,75.1,75.1,0.0,0.52,0.52
nike,0.0,8783.0,8783.0,0.0,29.0,29.0,0.0,3510.98,3510.98,0.0,0.0,0.33,0.33,0.0,58.57,58.57,0.0,0.4,0.4
rieker,0.0,10900.0,10900.0,0.0,37.0,37.0,0.0,3515.16,3515.16,0.0,0.0,0.34,0.34,0.0,80.63,80.63,0.0,0.32,0.32
joyroad,0.0,2786.0,2786.0,0.0,81.0,81.0,0.0,3547.58,3547.58,0.0,0.0,2.91,2.91,0.0,73.27,73.27,0.0,1.27,1.27
continental,0.0,2612.0,2612.0,0.0,28.0,28.0,0.0,3582.24,3582.24,0.0,0.0,1.07,1.07,0.0,75.44,75.44,0.0,1.37,1.37
fender,0.0,860.0,860.0,0.0,10.0,10.0,0.0,3583.57,3583.57,0.0,0.0,1.16,1.16,0.0,50.0,50.0,0.0,4.17,4.17
gigawatt,0.0,1674.0,1674.0,0.0,36.0,36.0,0.0,3595.97,3595.97,0.0,0.0,2.15,2.15,0.0,53.25,53.25,0.0,2.15,2.15
pinskdrev,0.0,1022.0,1022.0,0.0,3.0,3.0,0.0,3642.31,3642.31,0.0,0.0,0.29,0.29,0.0,83.33,83.33,0.0,3.56,3.56
skyworth,0.0,563.0,563.0,0.0,6.0,6.0,0.0,3652.89,3652.89,0.0,0.0,1.07,1.07,0.0,62.5,62.5,0.0,6.49,6.49
electrolux,6854.0,7435.0,581.0,92.0,87.0,-5.0,14906.55,18611.8,3705.25,24.86,1.34,1.17,-0.17,26.4,61.16,34.76,2.17,2.5,0.33
armani,0.0,1954.0,1954.0,0.0,13.0,13.0,0.0,3724.41,3724.41,0.0,0.0,0.67,0.67,0.0,53.57,53.57,0.0,1.91,1.91
nexen,0.0,3039.0,3039.0,0.0,50.0,50.0,0.0,3733.92,3733.92,0.0,0.0,1.65,1.65,0.0,76.08,76.08,0.0,1.23,1.23
aeroforce,0.0,3006.0,3006.0,0.0,26.0,26.0,0.0,3741.46,3741.46,0.0,0.0,0.86,0.86,0.0,72.04,72.04,0.0,1.24,1.24
joie,0.0,2458.0,2458.0,0.0,24.0,24.0,0.0,3759.42,3759.42,0.0,0.0,0.98,0.98,0.0,75.76,75.76,0.0,1.53,1.53
orient,0.0,3168.0,3168.0,0.0,25.0,25.0,0.0,3801.86,3801.86,0.0,0.0,0.79,0.79,0.0,66.22,66.22,0.0,1.2,1.2
alpine,0.0,2244.0,2244.0,0.0,24.0,24.0,0.0,3804.95,3804.95,0.0,0.0,1.07,1.07,0.0,50.0,50.0,0.0,1.7,1.7
alteco,0.0,4684.0,4684.0,0.0,57.0,57.0,0.0,3920.9,3920.9,0.0,0.0,1.22,1.22,0.0,70.77,70.77,0.0,0.84,0.84
arg,4041.0,7096.0,3055.0,117.0,168.0,51.0,14364.41,18312.47,3948.06,27.49,2.9,2.37,-0.53,45.07,63.56,18.49,3.55,2.58,-0.97
fly,0.0,2523.0,2523.0,0.0,25.0,25.0,0.0,4001.24,4001.24,0.0,0.0,0.99,0.99,0.0,56.14,56.14,0.0,1.59,1.59
dyson,1822.0,2322.0,500.0,17.0,21.0,4.0,8246.61,12272.58,4025.97,48.82,0.93,0.9,-0.03,32.0,70.83,38.83,4.53,5.29,0.76
asm,0.0,2560.0,2560.0,0.0,9.0,9.0,0.0,4215.28,4215.28,0.0,0.0,0.35,0.35,0.0,81.63,81.63,0.0,1.65,1.65
giant,0.0,954.0,954.0,0.0,5.0,5.0,0.0,4289.69,4289.69,0.0,0.0,0.52,0.52,0.0,64.29,64.29,0.0,4.5,4.5
