brand,oct_view_sessions,nov_view_sessions,view_session_change,oct_purchase_sessions,nov_purchase_sessions,purchase_session_change,oct_revenue,nov_revenue,revenue_change,revenue_change_pct,oct_conversion_rate,nov_conversion_rate,conversion_rate_change,oct_cart_abandonment_pct,nov_cart_abandonment_pct,cart_abandonment_change,oct_revenue_per_view,nov_revenue_per_view,revenue_per_view_change
startul,0.0,593.0,593.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0
pablosky,0.0,720.0,720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0
noppies,0.0,805.0,805.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0
fancy,0.0,739.0,739.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0
crucial,0.0,574.0,574.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0
febest,0.0,607.0,607.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0
longines,0.0,598.0,598.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0
simba,0.0,1016.0,1016.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0
can-am,0.0,1015.0,1015.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0
grohe,501.0,0.0,-501.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
persona,1047.0,0.0,-1047.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wera,739.0,0.0,-739.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gaissina,0.0,587.0,587.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fubag,0.0,753.0,753.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0
gulliver,0.0,811.0,811.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0
otan,0.0,505.0,505.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
appollo,0.0,924.0,924.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0
dometic,793.0,0.0,-793.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mltl,983.0,0.0,-983.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
elysium,0.0,511.0,511.0,0.0,2.0,2.0,0.0,16.22,16.22,0.0,0.0,0.39,0.39,0.0,77.78,77.78,0.0,0.03,0.03
goodloot,0.0,692.0,692.0,0.0,2.0,2.0,0.0,17.46,17.46,0.0,0.0,0.29,0.29,0.0,66.67,66.67,0.0,0.03,0.03
powerplant,0.0,613.0,613.0,0.0,6.0,6.0,0.0,22.09,22.09,0.0,0.0,0.98,0.98,0.0,76.92,76.92,0.0,0.04,0.04
dion,0.0,624.0,624.0,0.0,1.0,1.0,0.0,29.6,29.6,0.0,0.0,0.16,0.16,0.0,83.33,83.33,0.0,0.05,0.05
kronospan,0.0,603.0,603.0,0.0,2.0,2.0,0.0,30.32,30.32,0.0,0.0,0.33,0.33,0.0,93.1,93.1,0.0,0.05,0.05
aquamarine,0.0,646.0,646.0,0.0,3.0,3.0,0.0,30.63,30.63,0.0,0.0,0.46,0.46,0.0,75.0,75.0,0.0,0.05,0.05
